"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
46,"1","2026-05-27T10:31:08.999859Z",37,"/data/upload/2/cb657f59-255cca6f7ba661664f053e13247ee169.jpg","[{""x"":6.984126984126984,""y"":6.031746031746032,""width"":84.28571428571428,""height"":83.17460317460319,""rotation"":0,""rectanglelabels"":[""ворон""],""original_width"":736,""original_height"":736}]",8.048,"2026-05-27T10:31:08.999859Z"
47,"1","2026-05-27T10:31:15.870521Z",38,"/data/upload/2/72e74fba-cc9ffd8473370cb3798cd34efa4c3ad3.jpg","[{""x"":0.15873015873015872,""y"":4.1269841269841265,""width"":98.73015873015872,""height"":92.6984126984127,""rotation"":0,""rectanglelabels"":[""ворон""],""original_width"":474,""original_height"":474}]",5.461,"2026-05-27T10:31:15.870521Z"
48,"1","2026-05-27T10:31:31.121864Z",39,"/data/upload/2/c762f453-cf67f7149d58b69f7c373f59e64ec8a8.jpg","[{""x"":13.321167883211679,""y"":8.882504184569724,""width"":63.7469586374696,""height"":85.0925782126279,""rotation"":0,""rectanglelabels"":[""ворон""],""original_width"":736,""original_height"":564}]",14.014,"2026-05-27T10:31:31.121864Z"
49,"1","2026-05-27T10:31:38.115176Z",40,"/data/upload/2/1a2d8741-Corvus_corax_NPS.jpg","[{""x"":8.846153846153847,""y"":19.48717948717949,""width"":68.97435897435898,""height"":67.35042735042735,""rotation"":0,""rectanglelabels"":[""ворон""],""original_width"":1280,""original_height"":960}]",4.748,"2026-05-27T10:31:38.115176Z"
50,"1","2026-05-27T10:31:44.839521Z",41,"/data/upload/2/9c933d10-Corvus_corax_ad_berlin_090516.jpg","[{""x"":13.665441176470589,""y"":22.54901960784314,""width"":82.87837009803921,""height"":68.82352941176471,""rotation"":0,""rectanglelabels"":[""ворон""],""original_width"":1280,""original_height"":826}]",5.31,"2026-05-27T10:31:44.839521Z"
51,"1","2026-05-27T10:31:51.085800Z",42,"/data/upload/2/ff89b7ed-Corvus_corax_laurencei.jpg","[{""x"":19.47041984732824,""y"":10.114503816793894,""width"":66.62929389312976,""height"":89.8854961832061,""rotation"":0,""rectanglelabels"":[""ворон""],""original_width"":1280,""original_height"":848}]",5.1,"2026-05-27T10:31:51.085800Z"
52,"1","2026-05-27T10:32:00.512918Z",43,"/data/upload/2/9e30d70f-dark_scene_crow_nature_23_2151370498.jpg","[{""x"":11.005660813308687,""y"":8.687615526802219,""width"":63.63042975970426,""height"":78.18853974121997,""rotation"":0,""rectanglelabels"":[""ворон""],""original_width"":1920,""original_height"":1314}]",7.038,"2026-05-27T10:32:00.512918Z"
53,"1","2026-05-27T10:32:06.456121Z",44,"/data/upload/2/c0f1faee-dark-scene-crow-nature_23-2151370425.jpg","[{""x"":39.11192214111922,""y"":26.91683823070684,""width"":56.08272506082727,""height"":49.18489084687849,""rotation"":0,""rectanglelabels"":[""ворон""],""original_width"":740,""original_height"":507}]",4.559,"2026-05-27T10:32:06.456121Z"
54,"1","2026-05-27T10:32:13.513823Z",45,"/data/upload/2/600cca53-dark-scene-crow-nature_23-2151370436.jpg","[{""x"":49.5742092457421,""y"":23.543145356733223,""width"":40.632603406326055,""height"":58.06302998891434,""rotation"":0,""rectanglelabels"":[""ворон""],""original_width"":740,""original_height"":507}]",5.732,"2026-05-27T10:32:13.513823Z"
55,"1","2026-05-27T10:32:20.529447Z",46,"/data/upload/2/fd4341fa-dcb2651159ceb3d5f6da840457bbc52f.jpg","[{""x"":11.747325741890961,""y"":12.857142857142856,""width"":75.18288474810215,""height"":65.55555555555556,""rotation"":0,""rectanglelabels"":[""ворон""],""original_width"":736,""original_height"":838}]",5.653,"2026-05-27T10:32:20.529447Z"
56,"1","2026-05-27T10:32:27.850586Z",47,"/data/upload/2/4e1ebd9b-images_1.jpg","[{""x"":10.036496350364962,""y"":8.503311705866446,""width"":67.15328467153284,""height"":86.03203568532034,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":281,""original_height"":180}]",5.099,"2026-05-27T10:32:27.850586Z"
